tweet_id,tweet_text,label
'598052472335269888',BBC News - Sentinel satellite reveals Nepal quake movement http://t.co/puZ9z4EjEv,other_useful_information
'592331826405838848',"RT @ANI_news: Amritsar: Shiromani Gurdwara Parbandhak Committee (SGPC) to send food, relief material to Nepal. #NepalEarthquake http://t.co…",donation_needs_or_offers_or_volunteering_services
'453893233496432640',RT @IquiqueN: Alto Hospicio recibe más de $50 millones en ayuda de la Municipalidad de Las Condes | IquiqueN: http://t.co/xb2Pw1Exiy #iquiq…,donation_needs_or_offers_or_volunteering_services
'451588507308285952',"RT @lachlan_kennedy: USGS upgrades earthquake off Chile's coast to 7.8 The Pacific Tsunami Warning centre says ""no destructive tsunami thre…",caution_and_advice
'454031951499116544',RT @HombredeRadio: #IQUIQUE: Se necesitan para hoy voluntarios en el Hogar El Turron ubicado en Videla 1321 con Sotomayor. Consultas a Jair…,donation_needs_or_offers_or_volunteering_services
'383733062623715330',"USGS reports a M3.3 #earthquake 159km N of Road Town, British Virgin Islands on 9/27/13 @ 23:00:33 UTC http://t.co/FKZVjcxtrW #quake",other_useful_information
'592288275286478849',RT @Dochasnetwork: Some key principles that must inform all aid given to the victims and survivors of the #NepalEarthquake: http://t.co/7Zi…,donation_needs_or_offers_or_volunteering_services
'383693114365714433',RT @myrthekf: How the #Media Covered the 1988 #Spitak #Earthquake: #Multimedia Exhibit Launches in #Gyumri http://t.co/G0W03IMgVG via @repo…,other_useful_information
'451297994953211904',RT @WalterMakaula: 5 deaths in Chile 8.2 earthquake.  Updates throughout the morning @CBSMiami @CBS4SummerK @michaelCBS4,injured_or_dead_people
'451333105010229248',"RT @RuthdelSalto: CHILE Cancelan alerta de tsunami y suman seis los muertos por terremoto de 8, 3 grados",injured_or_dead_people
'504680233254277120',RT @NBCNews: Bird's-Eye View: #NapaQuake damage as seen from drone above http://t.co/ghQrH0eTh0 http://t.co/I7pMZBmKE1,infrastructure_and_utilities_damage
'593079853160759298',"Some good news out of Nepal, finally. Sharing a story from our friends at the @dzifoundation http://t.co/9AqlOgeizZ",sympathy_and_emotional_support
'451412545870770176',Anyone want to to draw any conclusions between the Earthquake in Chile and the sudden awakening of the volcano 300 miles north in Peru?,other_useful_information
'504188945081438208',RT @heyyouapp: USA » NEWS » http://t.co/fT8t72vYMD HOT NEWS 125 earthquake Even buildings with seismic retrofits damaged in Napa earthquake…,infrastructure_and_utilities_damage
'451446306481790976',@EduContreras ignorante q no sabes q en esa guerra murieron miles d chicos! mas alla d su traicion #FuerzaChile http://t.co/H5Y9SCF5qq,other_useful_information
'451322605728198656',"RT @abc_es: #FOTOGALERÍA Chile, en busca de refugio frente a un tsunami. El seísmo ya ha dejado 5 muertos http://t.co/u2eHe61P7E http://t.c…",injured_or_dead_people
'593181598087938048',"RT @NeelakshiGswm: India's response was like extending blank cheque, says #Nepal  ★My PM is full of love, never lose faith in him★",other_useful_information
